"Front";"Back";"Tags";"Difficulty";"Source"
"Define grad f (Def 8.2.6).";"Sei f : D → R differenzierbar in a \in D. Dann heißt grad f (a) :=        ∂f ∂x1 (a) . . . ∂f ∂xn (a)        = Jf (a)T \in Rn der Gradient von f in a. Für alle v \in Rn gilt nach Satz 8.2.4 (8.4) d f (a) ·v = (∂1 f (a), . . . ,∂n f (a)) ·     v1 . . . vn     = ⟨ grad f (a), v ⟩ . Der Gradient grad f (a) ist derjenige Vektor in Rn, der bzgl. des euklidischen Skalarprodukts 〈·,·〉dual zur Linearform d f (a) : Rn \to R ist. Da grad f (a) hierdurch eindeutig bestimmt ist, kann (8.4) gut als basis freie Definition des Gradienten dienen. Die Gradientenabbildung (auch Gradient genannt) D → Rn, x \mapstograd f (x) ist ein Speziallfall eines Vektor- feldes (im Sinne des Mathematikers), d.h. einer Abbildung F : D → Rn, oder Feldes (im Sinne des Physikers), d.h. jedem Punkt x \in D wird der Vektor grad f (x) angeheftet. Beispiel: Für f : Rn \to R, f (x) = \| x\|2 = 〈 x, x〉 = x2 1 + . . .+ x2 n ist ∂j f (x) = 2x j und grad f (x) = 2x.\n\nIntuition: This definition gives precise language for the topic of directional derivatives, partial derivatives, jacobian, gradient, chain rule in coordinates, and differentiability criterion.";"definition sec-8-2 ch-8";"1";"PDF p156; section 8.2. Richtungsableitungen und partielle Ableitungen"
"State Satz 8.2.7: 8.2. Richtungsableitungen und partielle Ableitungen.";"Ist f : D \to R in a differenzierbar , so gilt ∂v f (a) = 〈 v,grad f (a)〉. Die Richtungsableitun- gen ∂v f (a) mit v \in Rn, \|v\| = 1, nehmen genau die Werte zwischen −\| grad f (a)\| und \|grad f (a)\| an. Der größte Wert \|grad f (a)\| (im Falle grad f (a) ̸= 0) wird genau in der durch grad f (a) bestimmten Richtung v = grad f (a)/\|grad f (a)\| angenommen.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-8-2 ch-8";"3";"PDF p156; section 8.2. Richtungsableitungen und partielle Ableitungen"
"State Satz 8.2.8: Umschreibung der Kettenregel.";"Seien D \subset Rn, G \subset Rm offen, f : D \to Rm, g : G \to Rl Abbil- dungen, f (D) \subset G. Ist f in a \in D differenzierbar und g in f (a) \in G differenzierbar , so ist g ◦ f : D \to Rl in a differenzierbar , und es gilt (8.5) Jg◦ f (a) = Jg( f (a)) ·Jf (a) . Äquivalent dazu: ∂(g ◦ f )k ∂xi (a) = m\sum j= 1 ∂gk ∂yj ( f (a)) · ∂f j ∂xi (a) für alle i \in {1, . . . ,n} und k \in {1, . . . ,l}. Ist I \subset R ein Intervall, γ : I → D \subset Rn eine differenzierbare Kurve und f : D → Rm eine differenzierbare Abbildung, so folgt aus (8.5): ( f ◦ γ)′(t0) = d( f ◦ γ) dt (t0) = m\sum j= 1 ∂f ∂x j (γ(t0)) · dγ j dt (t0) , d.h. ( f ◦ γ)′(t) = d f (γ(t0)) ·γ′(t0). ANALYSIS I-III, 2011/2013 155 Insbesondere für m = 1 nach (8.4): ( f ◦ γ)′(t0) = ⟨ grad f (γ(t0)), γ′(t0) ⟩ .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-8-2 ch-8 umschreibung der kettenregel";"3";"PDF p156; section 8.2. Richtungsableitungen und partielle Ableitungen"
"State Satz 8.2.9: 8.2. Richtungsableitungen und partielle Ableitungen.";"Ist f : D \to R differenzierbar in D, so steht grad f senkrecht zu den Niveaumengen von f : Ist Nc = {x \in D : f (x) = c} = f − 1(c) für c \in R und γ : I \to Nc (I \subset R Intervall) eine differenzierbare Kurve in Nc , so gilt grad f (γ(t)) ⊥ ̇γ(t). Somit gilt: Ist grad f (a) ̸= 0, so weist grad f (a) in Richtung des stärksten Anstiegs von f in a, und \| grad f (a)\| ist dieser stärkste Anstieg. Ist die Funktion f die Höhenfunktion in einer Landschaftskarte, so weist der G ra- dient dorthin, wo es von a aus am steilsten aufwärts geht. Diese Richtung steht senkre cht zu den Höhenlinien. Bisher wurde vorausgesetzt, dass das Differential an einer Stelle existiert. Dann existieren dort die parti- ellen Ableitungen nach Satz 8.2.4. Umgekehrt erhebt sich di e Frage, ob aus der Existenz der partiellen Ablei- tungen die Existenz des Differentials gefolgert werden kan n. Die Umkehrung des Satzes 8.2.4 ist aber falsch. Sei f : R2 \to R definiert durch f (x, y) =      x y2 x2 + y4 , falls ( x, y) ̸= (0,0), 0 , falls ( x, y) = (0,0). Dann existieren alle Richtungsableitungen ∂v f (0,0), aber f ist nicht stetig in (0 ,0), also erst recht nicht diffe- renzierbar .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-8-2 ch-8";"3";"PDF p157; section 8.2. Richtungsableitungen und partielle Ableitungen"
"State Satz 8.2.10: Hauptkriterium für Differenzierbarkeit.";"If all partial derivatives exist in a neighborhood of $a$ and are continuous at $a$, then $f$ is differentiable at $a$.\n\nUse: Practical differentiability test.";"satz sec-8-2 ch-8 high-yield hauptkriterium für differenzierbarkeit";"4";"PDF p157; section 8.2. Richtungsableitungen und partielle Ableitungen"
"What pattern is shown in Beispiel 8.2.11?";"Directional derivatives, partial derivatives, Jacobian, gradient, chain rule in coordinates, and differentiability criterion.\n\nSource: Sei P2 : R+ × R \to R2, f (r, θ) = (r cos θ, r sin θ). Dann gilt ∂P2 ∂r (r, θ) = ( cos θ sin θ ) , ∂P2 ∂θ (r, θ) = ( − r sin θ r cos θ ) , und ∂P2 ∂r , ∂P2 ∂θ sind stetig (sie haben stetige Komponenten). Daher ist P2 differenzierbar und dP 2(r, θ) ·(h, k) = JP2 (r, θ) · ( h k ) = ( cos θ − r sin θ sin θ r cos θ ) ( h k ) = ( h cos θ − kr sin θ h sin θ + kr cos θ ) . 8.3. Mittelwertsatz und Schrankensatz. Sei D \subset Rn offen. Für reellwertige Abbildungen mehrerer Varia- blen f : D → R können…";"beispiel sec-8-2 ch-8";"2";"PDF p157; section 8.2. Richtungsableitungen und partielle Ableitungen"
"State Satz 8.3.1: 8.3. Mittelwertsatz und Schrankensatz.";"Sei f : D \to R differenzierbar , und seien a, b \in D so, dass die Verbindungsstrecke [a, b] in D liegt. Dann gibt es \xi \in [a, b] mit f (b) − f (a) = d f (\xi) ·(b − a).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-8-3 ch-8";"3";"PDF p157; section 8.3. Mittelwertsatz und Schrankensatz"
"State Folgerung 8.3.2: Konstanzkriterium.";"Ist D \subset Rn offen und zusammenhängend, f : D \to Rm differenzierbar und d f (x) = 0 für alle x \in D, so ist f konstant.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-8-3 ch-8 konstanzkriterium";"3";"PDF p157; section 8.3. Mittelwertsatz und Schrankensatz"
"State Satz 8.3.5: Integraldarstellung des Funktionszuwachses.";"Sei f : D \to Rm stetig differenzierbar ,a, b \in D mit [a, b] \subset D. Dann gilt f (b) − f (a) = ∫ 1 0 d f ((1 − t)a + tb) ·(b − a) dt = ∫ 1 0 n\sum k= 1 ∂f ∂xk ((1 − t)a + tb) ·(bk − ak) dt .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-8-3 ch-8 integraldarstellung des funktionszuwachses";"3";"PDF p158; section 8.3. Mittelwertsatz und Schrankensatz"
"State Lemma 8.3.6: Abschätzungsregel.";"   ∫ b a γ(t) dt    \le ∫ b a \|γ(t)\| dt .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"lemma sec-8-3 ch-8 abschätzungsregel";"3";"PDF p158; section 8.3. Mittelwertsatz und Schrankensatz"
"State Satz 8.3.7: Schrankensatz.";"$\|f(b)-f(a)\|\le \sup_{t\in[0,1]}\|df((1-t)a+tb)\|_{\mathrm{op}}\|b-a\|$ under the stated hypotheses.\n\nUse: Used for Lipschitz estimates and contraction arguments.";"satz sec-8-3 ch-8 high-yield schrankensatz";"4";"PDF p158; section 8.3. Mittelwertsatz und Schrankensatz"
"State Satz 8.3.9: 8.3. Mittelwertsatz und Schrankensatz.";"Sei f k : D \to Rm eine Folge stetig differenzierbarer Abbildungen, und seie n f : D \to Rm, g : D \to L(Rn,Rm). Gilt f k \to f und d fk \to g lokal gleichmäßig für k \to \infty , so ist f stetig differenzierbar mit d f = g. 8.4. Höhere Ableitungen und der Satz von Schwarz.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-8-3 ch-8";"3";"PDF p158; section 8.3. Mittelwertsatz und Schrankensatz"
"Define unnamed definition in 8.4 (Def 8.4.1).";"Sei f : D \subset Rn \to Rm eine Abbildung, und seien i, j \in {1, . . . ,n}. Die partielle Ableitung ∂j f existiere auf ganz U. Falls die i-te partielle Ableitung zu ∂j f in a existiert, so heißt ∂i(∂j f )(a) eine partielle Ableitung 2. Ordnung in a. Schreibweisen: ∂2 f ∂xi∂x j (a) := ∂i j f (a) := ∂i(∂j f )(a) , ∂2 f ∂x2 i (a) := ∂2 i f (a) := ∂i(∂i f )(a) . Beispiel: Seien D := R+ × R \subset R2 und f : D \to R definiert durch f (x, y) := x y. Dann ∂f ∂x (x, y) = yx y− 1 , ∂2 f ∂y∂x (x, y) = x y− 1 + y log x − x y− 1 , ∂f ∂y (x, y) = log x ·x y , ∂2 f ∂x∂y (x, y) = x y− 1 + yx y− 1 log x , ∂2 f ∂x2 (x, y) = y(y − 1)x y− 2 , ∂f ∂y2 (x, y) = log x ·log x ·x y . ANALYSIS I-III, 2011/2013 157\n\nIntuition: This definition gives precise language for the topic of higher partial derivatives, schwarz theorem, hessian, and higher differentials.";"definition sec-8-4 ch-8";"1";"PDF p158; section 8.4. Höhere Ableitungen und der Satz von Schwarz"
"State Satz 8.4.3: Satz von Schwarz.";"Under the script's continuity hypotheses, mixed partial derivatives commute: $\partial_i\partial_j f(a)=\partial_j\partial_i f(a)$.\n\nUse: Justifies symmetric Hessians and higher derivative notation.";"satz sec-8-4 ch-8 high-yield satz von schwarz";"4";"PDF p159; section 8.4. Höhere Ableitungen und der Satz von Schwarz"
"Define unnamed definition in 8.4 (Def 8.4.4).";"Für i1, . . . ,i k \in {1, . . . ,n} definieren wir eine partielle Ableitung k-ter Ordnung in Richtungen xi1 , xi2 , . . . ,xik durch ∂i1···ik f = ∂i1 (· · ·(∂ik− 1 (∂ik f )) · · ·), falls f auf U in Richtung xik differen- zierbar ist, ∂ik f auf U in Richtung xik− 1 differenzierbar ist etc. Schreibweisen: ∂k f ∂xi1 . . .∂xik := ∂i1···ik f := ∂i1 (· · ·(∂ik− 1 (∂ik f )) · · ·) , ∂l f ∂xl i := ∂l i f := ∂i∂i . . .∂i   l− mal f , für l \in N0 (wobei ∂0 i f := f ), ∂k f ∂xl1 1 . . .∂xln n := ∂l1 1 · · ·∂ln n f , für l \in N0, l1 + . . .+ ln = k .\n\nIntuition: This definition gives precise language for the topic of higher partial derivatives, schwarz theorem, hessian, and higher differentials.";"definition sec-8-4 ch-8";"1";"PDF p159; section 8.4. Höhere Ableitungen und der Satz von Schwarz"
"Define k-mal stetig differenzierbar (Def 8.4.5).";"Sei D \subset Rn offen und k \in N. (i) Eine Abbildung f : D \to Rm heißt k-mal stetig differenzierbar , wenn alle partiellen Ableitun- gen bis zur Ordnung k von f existieren und stetig sind. Wir bezeichnen mit Ck(D,Rm) den Raum der k-mal stetig differenzierbaren Abbildungen von U nach Rm. (ii) Eine Abbildung f : D \to Rm heißt unendlich oft differenzierbar oder glatt, wenn für alle k \in N alle partiellen Ableitungen ∂i1···ik f existieren und stetig sind. Wir bezeichnen mit C\infty (D,Rm) der Raum der unendlich oft differenzierbaren Abbildungen von U nach Rm. Offensichtlich gilt C0(D,Rm) \supset C1(D,Rm) \supset C2(D,Rm) \supset . . .\supset Ck(D,Rm) \supset Ck+ 1(D,Rm) \supset . . . und C\infty (D,Rm) = \cap k\inNCk(D,Rm).\n\nIntuition: This definition gives precise language for the topic of higher partial derivatives, schwarz theorem, hessian, and higher differentials.";"definition sec-8-4 ch-8";"1";"PDF p159; section 8.4. Höhere Ableitungen und der Satz von Schwarz"
"Define die Matrix H f (Def 8.4.7).";"Sei f \in C2(D,R), D \subset Rn offen, a \in D. Dann heißt die Matrix H f (a) :=     ∂11 f (a) . . . ∂1n f (a) . . . . . . ∂n1 f (a) . . . ∂nn f (a)     Hesse-Matrix zu f in a . Die Bilinearform d2 f (a) : Rn × Rn \to R , (u, v) \mapsto∂u(∂v f )(a) . heißt Hesse-Form oder Differential zweiter Ordnung zu f in a . Wegen des Satzes von Schwarz ist H f (a) symmetrisch, d.h. ∂i j f (a) = ∂ji f (a). Daher ist die Hesse-Matrix die Jacobi-Matrix des Gradienten: H f (a) = Jgrad f (a). Die Hesse-Form ist wohldefiniert, da ∂v f = v1∂1 f + . . .+ vn∂n f differenzierbar ist; daher ist ∂u(∂v f )(a) linear in u und v. Es gilt d2 f (a)(u, v) = n\sum i, j= 1 ui v j d2 f (a)(e i, e j) = n\sum i, j= 1 ui v j∂i j f (a) = uT H f (a)v. Also hat die Bilinearform d2 f (a) bezüglich der Standardbasis {e1, . . . ,en} die Matrix H f (a). Insbesondere ist d2 f (a) symmetrisch. Wir werden sehen, dass die Hesse-Matrix bei d er Extremwertbestimmung eine wesentli- che Rolle spielt.\n\nIntuition: This definition gives precise language for the topic of higher partial derivatives, schwarz theorem, hessian, and higher differentials.";"definition sec-8-4 ch-8";"1";"PDF p160; section 8.4. Höhere Ableitungen und der Satz von Schwarz"
"State Lemma 8.4.8: 8.4. Höhere Ableitungen und der Satz von Schwarz.";"Sei D \subset Rn offen und f \in Ck(D,Rm). Dann gilt für alle v1, v2, . . . ,vk \in Rn: ∂v1 v2...vk f (a) := ∂v1 (. . .(∂vk f ) . . .)(a) = n\sum i1,i2,...,ik = 1 v1i1 v2i2 . . .vki k ∂i1 i2...ik f (a) .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"lemma sec-8-4 ch-8";"3";"PDF p160; section 8.4. Höhere Ableitungen und der Satz von Schwarz"
"Define Differential k-ter Ordnung zu f in a (Def 8.4.9).";"Sei f \in Ck(D,Rm) und a \in D. Die multilineare Abbildung dk f (a) : Rn × . . .× Rn \to Rm , (v1, v2, . . . ,vk) \mapsto∂v1 v2...vk f (a) = n\sum i1,i2,...,ik = 1 v1i1 v2i2 . . .vki k ∂i1 i2...ik f (a) heißt Differential k-ter Ordnung zu f in a . Nach Bemerkung 8.4.6 ist dk f (a) symmetrisch. 8.5. Die Taylorformel. Sei D \subset Rn offen, f \in Ck(D,Rm), a \in D. Für 1 \le r \le k betrachte die multilineare Abbil- dung dr f (a). Für v1 = v2 = . . .= vr = v setzen wir dr f (a) ·v(r) := dr f (a)(v, v, . . . ,v) .\n\nIntuition: This definition gives precise language for the topic of higher partial derivatives, schwarz theorem, hessian, and higher differentials.";"definition sec-8-4 ch-8";"1";"PDF p160; section 8.4. Höhere Ableitungen und der Satz von Schwarz"
"Define p-tes Taylorpolynom zu f in a \in D (Def 8.5.1).";"Sei f \in Cp+ 1(D,R) und a \in D. Das Polynom T p,a f (x) = f (a) + 1 1! d f (a)(x − a) + 1 2! d2 f (a)(x − a)(2) + . . .+ 1 p! d p f (a)(x − a)(p) heißt p-tes Taylorpolynom zu f in a \in D. Für α = (α 1, . . . ,α n) \in Nn 0 und v \in Rn schreibe | α| := α 1 + . . .+ α n, α! := α 1! · · ·α n!, vα = vα 1 1 · · ·vα n n , und setze: ∂μ i f := ∂μ ∂xμ i , ∂α f := ∂α 1 1 · · ·∂α n n f = ∂α 1 ∂xα 1 1 · · ·∂α n ∂xα n n f = ∂| α| f ∂xα 1 1 · · ·∂xα n n ·\n\nIntuition: This definition gives precise language for the topic of multivariable taylor formula.";"definition sec-8-5 ch-8";"1";"PDF p160; section 8.5. Die Taylorformel"
"State Lemma 8.5.2: 8.5. Die Taylorformel.";"Es gilt dr f (a) ·v(r) = \sum | α|= r r! α! ∂α f (a) vα . ANALYSIS I-III, 2011/2013 159\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"lemma sec-8-5 ch-8";"3";"PDF p160; section 8.5. Die Taylorformel"
"State Satz 8.5.3: Taylorformel.";"A $C^{p+1}$ multivariable function equals its Taylor polynomial of degree $p$ plus the stated Lagrange/integral remainder on a segment.\n\nUse: Used for approximation and local extrema.";"satz sec-8-5 ch-8 high-yield taylorformel";"4";"PDF p161; section 8.5. Die Taylorformel"
"Define unnamed definition in 8.6 (Def 8.6.1).";"Sei X ein topologischer Raum (z.B. X \subset Rn mit der induzierten Topologie). (i) f : X \to R hat in a \in X ein Maximum (bzw .Minimum), wenn f (x) \le f (a) für alle x \in X (bzw . f (x) \ge f (a) für alle x \in X ). Man bezeichnet a auch als globales Maximum (bzw .globales Mini- mum ). (ii) f : X \to R hat in a ein lokales Maximum (bzw .lokales Minimum ), wenn es eine Umgebung U von a in X gibt mit f (x) \le f (a) (bzw . f (x) \ge f (a)) für alle x \in U. (iii) f : X \to R hat in a ein strenges Maximum (bzw .strenges Minimum ), wenn f (x) < f (a) (bzw . f (x) > f (a)) für alle x \in X \setminus {a}. (iv) f : X \to R hat in a ein strenges lokales Maximum (bzw .strenges lokales Minimum ), wenn es eine Umgebung U von a gibt mit f (x) < f (a) (bzw . f (x) > f (a)) für alle x \in U \setminus {a}. (v) f : X \to R hat in a ein lokales Extremum , wenn f in a ein lokales Maximum oder ein lokales Minimum hat.\n\nIntuition: This definition gives precise language for the topic of local extrema, critical points, and hessian tests.";"definition sec-8-6 ch-8";"1";"PDF p161; section 8.6. Lokale Extrema"
"Define kritisch oder stationär (Def 8.6.2).";"Seien D \subset (V ,\|·\|) offen und f : D \to R differenzierbar . Ein Punkt a \in D mit d f (a) = 0 \in L(V ,R) heißt kritisch oder stationär .\n\nIntuition: This definition gives precise language for the topic of local extrema, critical points, and hessian tests.";"definition sec-8-6 ch-8";"1";"PDF p161; section 8.6. Lokale Extrema"
"State Satz 8.6.3: Fermatsches Kriterium.";"If $f$ is differentiable and has a local extremum at an interior point $a$, then $df(a)=0$.\n\nUse: Starts local-extrema analysis.";"satz sec-8-6 ch-8 high-yield fermatsches kriterium für";"4";"PDF p161; section 8.6. Lokale Extrema"
"State Satz 8.6.4: Hinreichendes Kriterium für lokale Extrema.";"At a critical point, positive definite Hessian gives a strict local minimum, negative definite gives a strict local maximum, and indefinite gives no local extremum.\n\nUse: Main second-derivative test.";"satz sec-8-6 ch-8 high-yield hinreichendes kriterium für";"4";"PDF p161; section 8.6. Lokale Extrema"
"What pattern is shown in Beispiel 8.7.1?";"Worked extrema determination examples.\n\nSource: Sei f : R2 \to R, f (x, y) = x3 + x2 + y2; grad f (x, y) = (3x2 + 2x,2y) = (0,0) genau dann, wenn (x, y) \in {(0,0),(− 2 3 ,0)}. Die Hesse-Matrix ist: H f (x, y) = ( 6x + 2 0 0 2 ) mit H f (0,0) = ( 2 0 0 2 ) positiv definit und H f (− 2 3 ,0) = ( − 2 0 0 2 ) indefinit. Daraus folgt: Der Punkt (0 ,0) ist ein lokales Minimum, und ( − 2 3 ,0) ist kein lokales Extremum. Punkte ( x, y) \in R2 mit d f (x, y) = 0 und H f (x, y) indefinit heißen Sattelpunkte.";"beispiel sec-8-7 ch-8";"2";"PDF p162; section 8.7. Extremwertbestimmung"
"What pattern is shown in Beispiel 8.7.2?";"Worked extrema determination examples.\n\nSource: Betrachte die Funktion f : R2 \to R, f (x, y) = x4 + y3 − 4x3 − 3y2 + 3y; grad f (x, y) = (4x3 − 12x2,3y2 − 6y + 3) = (0,0) genau dann, wenn ( x, y) \in {(0,1),(3,1)}. Es ist H f (x, y) = ( 12x2 + − 24x 0 0 6 y − 6 ) , H f (0,1) = ( 0 0 0 0 ) , H f (0,1) = ( 36 0 0 0 ) . In beiden Fällen ist 0 ein Eigenwert der Hessematrix und das K riterium 8.6.4 gibt keine Auskunft. Wir studieren daher das Vorzeichen der Differenzen f (x, y) − f (0,1) und f (x, y) − f (3,1). Für ein Polynom P gilt P(x) = Tk,a…";"beispiel sec-8-7 ch-8";"2";"PDF p162; section 8.7. Extremwertbestimmung"
"Define komplex differenzierbar in z0 \in D (Def 8.9.1).";"Sei D \subset C offen. Eine Funktion f : D \to C heißt komplex differenzierbar in z0 \in D, wenn (8.7) f ′(z0) := d f dz (z0) := limz→ z0 f (z) − f (z0) z − z0 in C existiert. Diese Zahl heißt dann die (komplexe) Ableitung von f in z0. Die Funktion f : D \to C heißt holomorph in D, falls f komplex differenzierbar in allen Punkten z \in D ist; f heißt holomorph in z0 \in D, wenn f holomorph in einer offenen Umgebung von z0 ist. Jedes Polynom P : C \to C, P(z) = an zn + . . .+ a0 ist komplex differenzierbar , und P′(z) = nan zn− 1 + . . .+ 2a2 z + a1. Diese Definition erhalten wir durch Übertragung der Definiti on der Differenzierbarkeit in einer reellen Verän- derlichen. Auf gleiche Weise wie in Satz 5.2.3 zeigt man:\n\nIntuition: This definition gives precise language for the topic of notes on complex differentiability and cauchy-riemann style equivalences.";"definition sec-8-9 ch-8";"1";"PDF p164; section 8.9. Notizen: Komplexe Differenzierbarkeit"
"State Lemma 8.9.2: 8.9. Notizen: Komplexe Differenzierbarkeit.";"Folgende Bedingungen sind äquivalent: (i) f ist komplex differenzierbar in z0 (ii) Es gibt \lambda \in C mit f (z) = f (z0) + \lambda(z − z0) + o| z − z0| ) (d.h. es gibt ρ : D \to C mit limz→ z0 ρ(z) z− z0 = 0 und f (z) = f (z0) + \lambda(z − z0) + ρ(z)). (iii) Es gibt L : HomC(C,C) mit f (z) = f (z0) + L(z − z0) + o(| z − z0| ). In diesem Falle gilt f ′(z0) = \lambda und L(v) = f ′(z0) ·v für v \in C. Dabei bezeichnet Hom C(C,C) der Raum der C–linearen Abbildungen von C nach C. Sei nun f : D \to C, z = x + i y \mapstof (z) = u(x, y)+ iv(x, y), wobei u = Re f und v = Im f . Wir identifizieren f mit einer Funktion f : D \subset R2 → R2, (x, y) \mapsto((x, y), v(x, y)): C \supset D z\mapstof (z) − − − − − − − − − − − − \toC z\mapsto(x,y)   ↓   ↓z\mapsto(x,y) R2 \supset D − − − − − − − − − − − − − \to (x,y)\mapsto(u(x,y),v(x,y)) R2 Laut Definition 8.1.1 ist die Funktion f reell-differenzierbar , wennL \in HomR(R2,R2) = HomR(C,C) existiert mit f (z) = f (z0) + L(z − z0) + o(| z − z0| ), z → z0. Die Abbildung L ist das Differential von f in z0 und wird bezeichnet mit L = d f (z0). Ist f reell-differenzierbar in z0, so existieren die partiellen Ableitungen ∂f ∂x (z0) = ∂u ∂x (z0) +…\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"lemma sec-8-9 ch-8";"3";"PDF p164; section 8.9. Notizen: Komplexe Differenzierbarkeit"
"State Satz 8.9.3: 8.9. Notizen: Komplexe Differenzierbarkeit.";"Sei D \subset C offen, f : D \to C und z0 \in D. Die folgenden Aussagen sind äquivalent: (i) f ist komplex-differenzierbar in z0, (ii) f ist reell-differenzierbar in z0 und d f (z0) ist C-linear , (iii) f ist reell-differenzierbar in z0 und erfüllt zusätzlich die Cauchy-Riemann-Gleichungen: (8.8) ∂f ∂x (z0) + i ∂f ∂y (z0) = 0 ANALYSIS I-III, 2011/2013 163 d.h. (8.9) ∂u ∂x = ∂v ∂y , ∂u ∂y = − ∂v ∂x In diesem Falle gilt (8.10) d f (z0)(v) = f ′(z0) ·v , für v \in C.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-8-9 ch-8";"3";"PDF p164; section 8.9. Notizen: Komplexe Differenzierbarkeit"
"Define Kontraktion (Def 9.1.1).";"A map $f:X\to X$ is a contraction if $d(f(x),f(y))\le qd(x,y)$ for some $q\in[0,1)$.\n\nIntuition: The map strictly shrinks distances.";"definition sec-9-1 ch-9 high-yield";"2";"PDF p166; section 9.1. Banachscher Fixpunktsatz"
"State Satz 9.1.2: Banachscher Fixpunktsatz.";"A contraction on a complete metric space has a unique fixed point, and the iteration $x_n=f(x_{n-1})$ converges to it with the stated error estimate.\n\nUse: Existence/uniqueness engine behind inverse and implicit function arguments.";"satz sec-9-1 ch-9 high-yield banachscher fixpunktsatz";"4";"PDF p166; section 9.1. Banachscher Fixpunktsatz"
"Define Ck-Diffeomorphismus (Def 9.2.1).";"Seien D \subset Rn, G \subset Rm offen, und sei k \in N \cup {\infty }. f : D \to G heißt Ck-Diffeomorphismus, wenn f \in Ck(D,G), f bijektiv und f − 1 \in Ck(G, D) ist. f heißt lokaler Ck-Diffeomorphismus in a \in D, wenn offene Umgebungen U von a und V von f (a) existieren so, dass f : U \to V ein Ck-Diffeomorphismus ist. f heißt lokaler Ck-Diffeomorphismus, wenn f ein lokaler Ck-Diffeomorphismus in jedem x \in D ist. 9.2.2. Beispiele. (1) exp : R \to R+ ist ein C\infty -Diffeomorphismus mit der Inversen log : R+ \to R. (2) Polarkoordinaten in R2. Die (Einschränkung der) Polarkoordinatenabbildung P : R+ × (− π, π) \to R2 \ {(x, y) : x \le 0, y = 0} = : R2 − , P(r, θ) = (r cos θ, r sin θ) ANALYSIS I-III, 2011/2013 165 ist ein C\infty -Diffeomorphismus. Laut Satz 7.4.12 ist die Inverse von P gegeben durch P− 1 : R2 \to R+ × (− π, π) , (x, y) \mapsto (√ x2 + y2,arg(x, y) ) wobei (siehe (7.6) und (7.7)) arg : R2 \to (− π, π) , arg(x, y) =      arccos x \sqrt x2+ y2 , x \ge 0 , − arccos x\sqrt x2+ y2 , x < 0 . Die Funktion R2 \to R+ , ( x, y) \mapsto √ x2 + y2 ist glatt, als Zusammensetzung von R2 \to R+ , ( x, y) \mapstox2 + y2 und R+ → R+ , t \mapsto \sqrt t. Wir beweisen, das…\n\nIntuition: This definition gives precise language for the topic of diffeomorphisms and inverse function theorem.";"definition sec-9-2 ch-9";"1";"PDF p166; section 9.2. Der Umkehrsatz"
"State Satz 9.2.3: 9.2. Der Umkehrsatz.";"Seien D \subset Rn, G \subset Rm offen, k \in N \cup {\infty }. Sei f : D \to G ein Ck-Diffeomorphismus, x \in D, y = f (x). Dann gilt d( f − 1)(y) = [d f (x)]− 1 und Jf − 1 (y) = [Jf (x)]− 1. Insbesondere gilt m = n.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-9-2 ch-9";"3";"PDF p168; section 9.2. Der Umkehrsatz"
"State Satz 9.2.4: 9.2. Der Umkehrsatz.";"Sei f : D \to G ein Homöomorphismus mit f \in Ck(D,G). Die folgenden Aussagen sind äquiva- lent: (i) f ist ein Ck-Diffeomorphismus, (ii) d f (x) : Rn \to Rn ist für jedes x \in D ein Isomorphismus.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-9-2 ch-9";"3";"PDF p168; section 9.2. Der Umkehrsatz"
"State Satz 9.2.5: Umkehrsatz.";"If $f\in C^k$ and $df(a)$ is an isomorphism, then $f$ is locally a $C^k$-diffeomorphism near $a$.\n\nUse: One of the main local structure theorems of multivariable analysis.";"satz sec-9-2 ch-9 high-yield umkehrsatz";"4";"PDF p168; section 9.2. Der Umkehrsatz"
"State Folgerung 9.2.7: Diffeomorphiesatz.";"Seien D,G \subset Rn offen, und sei f \in Ck(D,G) bijektiv, k \ge 1. Falls d f (a) für jedes a \in D invertierbar ist, so folgt f − 1 \in Ck(G, D), d.h. f ist ein Ck-Diffeomorphismus.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-9-2 ch-9 diffeomorphiesatz";"3";"PDF p170; section 9.2. Der Umkehrsatz"
